CABANG;PROPINSI;NO ORDER;TANGGAL;SUMBER;SERIES;HARGA JUAL;DISKON;JENIS BAYAR
FKH PALOPO;SULAWESISELATAN;BTDPLP220500027;12-May-22;OFFLINE;CB150R;31.620.000;0;KREDIT
FKH PALOPO;SULAWESISELATAN;BTDPLP220500030;12-May-22;OFFLINE;SCOOPY;23.020.000;0;KREDIT
FKH SLIPI;DKIJAKARTA;BTDSLP220500029;13-May-22;OFFLINE;VARIO 125;23.677.000;0;KREDIT
FKH MANGGAR;KEPULAUANBANGKABELIT;BTDMGR220500021;12-May-22;OFFLINE;VARIO 160;31.486.000;0;KREDIT
FKH TERNATE TENGAH;MALUKUUTARA;BTDTNT220500011;12-May-22;OFFLINE;PCX160;35.280.000;0;KREDIT
FKH JAILOLO;MALUKUUTARA;BTDJLO220500005;12-May-22;OFFLINE;REVO;19.650.000;0;KREDIT
FKH TERNATE;MALUKUUTARA;BTDTTE220500039;12-May-22;OFFLINE;BEAT;20.750.000;0;KREDIT
FKH TOBELO;MALUKUUTARA;BTDTBL220500010;12-May-22;OFFLINE;BEAT;21.250.000;0;KREDIT
FKH WAIKABUBAK;NUSATENGGARATIMUR;BTDWKB220500020;12-May-22;OFFLINE;BEAT;19.956.500;0;KREDIT
FKH ISIMU;GORONTALO;BTDISI220500003;12-May-22;OFFLINE;SCOOPY;23.130.000;0;KREDIT
FKH ROTE;NUSATENGGARATIMUR;BTDRTE220500011;12-May-22;OFFLINE;BEAT;20.235.000;0;KREDIT
FKH TOBELO;MALUKUUTARA;BTDTBL220500011;12-May-22;OFFLINE;BEAT;21.250.000;0;KREDIT
FKH PUTUSSIBAU;KALIMANTANBARAT;BTDPSU220500019;12-May-22;OFFLINE;SCOOPY;22.800.000;0;KREDIT
FKH SLIPI;DKIJAKARTA;BTDSLP220500032;12-May-22;OFFLINE;BEAT;18.441.000;0;KREDIT
FKH PONTIANAK;KALIMANTANBARAT;BTDPNK220500012;12-May-22;OFFLINE;VARIO 125;24.060.000;0;KREDIT
FKH MAKASSAR;SULAWESISELATAN;BTDMKS220400224;13-May-22;OFFLINE;VARIO 160;29.250.000;0;KREDIT
FKH PARINDU;KALIMANTANBARAT;BTDPRD220500004;12-May-22;ONLINE;REVO;17.180.000;0;KREDIT
FKH MAJENE;SULAWESIBARAT;BTDMJN220500013;12-May-22;OFFLINE;GENIO;19.970.000;0;KREDIT
FKH TERNATE;MALUKUUTARA;BTDTTE220500040;12-May-22;OFFLINE;BEAT;19.850.000;0;KREDIT
FKH MAMUJU;SULAWESIBARAT;BTDMMJ220500008;13-May-22;ONLINE;BEAT;19.780.000;0;KREDIT
FKHMAULAFA;NUSATENGGARATIMUR;BTDMLF220500008;12-May-22;OFFLINE;REVO;17.370.000;0;KREDIT
FKH LEMBUR SITU;JAWABARAT;BTDLBS220400014;13-May-22;OFFLINE;PCX160;31.150.000;0;KREDIT
FKH TERNATE;MALUKUUTARA;BTDTTE220500043;12-May-22;OFFLINE;BEAT;19.850.000;0;KREDIT
FKH TUMINTING;SULAWESIUTARA;BTDTUM220400021;12-May-22;ONLINE;BEAT;20.100.000;0;KREDIT
FKH SANGGAU;KALIMANTANBARAT;BTDSGU220500005;12-May-22;OFFLINE;REVO;18.690.000;0;KREDIT
FKH PALEMBANG;SUMATERASELATAN;BTDPLM220500016;12-May-22;OFFLINE;GENIO;19.550.000;0;KREDIT
FKH SINGKAWANG;KALIMANTANBARAT;BTDSKW220500007;12-May-22;OFFLINE;SCOOPY;23.610.000;0;KREDIT
FKH TERNATE;MALUKUUTARA;BTDTTE220300119;12-May-22;OFFLINE;SCOOPY;22.730.000;0;KREDIT
FKH SAMARINDA;KALIMANTANTIMUR;BTDSRI220500019;12-May-22;OFFLINE;GENIO;20.810.000;0;KREDIT
FKH BALIKPAPAN;KALIMANTANTIMUR;BTDBPN220500010;12-May-22;OFFLINE;GENIO;20.880.000;0;KREDIT
FKHWAITABULA;NUSATENGGARATIMUR;BTDWTB220500007;12-May-22;OFFLINE;BEAT;20.155.000;0;KREDIT
FKH BELIMBING;KALIMANTANBARAT;BTDBLB220400055;12-May-22;OFFLINE;REVO;17.180.000;0;KREDIT
FKH LOA JANAN ILIR(DLR)1;KALIMANTANTIMUR;BTDLJI220400108;12-May-22;OFFLINE;VARIO 125;24.620.000;0;KREDIT
FKH JUNGKAT;KALIMANTANBARAT;BTDJGT220500007;12-May-22;OFFLINE;SCOOPY;23.260.000;0;KREDIT
FKH SAMARINDA;KALIMANTANTIMUR;BTDSRI220400076;12-May-22;OFFLINE;VARIO 125;24.780.000;0;KREDIT
FKH TANGERANG;BANTEN;BTDTGR220500028;13-May-22;OFFLINE;VARIO 125;22.735.000;0;KREDIT
FKH SOFIFI;MALUKUUTARA;BTDSFI220500011;12-May-22;ONLINE;CBR 150R;40.260.000;0;KREDIT
FKH KUPANG;NUSATENGGARATIMUR;BTDKPG220500022;12-May-22;OFFLINE;BEAT;19.819.000;0;KREDIT
FKH SIANTAN;KALIMANTANBARAT;BTDSNT220500008;12-May-22;OFFLINE;BEAT;19.980.000;0;KREDIT
FKH SEI RAYA;KALIMANTANBARAT;BTDSEI220500013;12-May-22;OFFLINE;SCOOPY;23.260.000;0;KREDIT
FKH SINTANG;KALIMANTANBARAT;BTDSTG220500026;13-May-22;OFFLINE;REVO;18.690.000;0;KREDIT
FKH NANGA PINOH;KALIMANTANBARAT;BTDNPH220500029;12-May-22;OFFLINE;SCOOPY;22.800.000;0;KREDIT
FKH MEDAN HELVETIA;SUMATERAUTARA;BTDMDH220500001;12-May-22;OFFLINE;VARIO 160;28.810.000;0;KREDIT
FKH TERNATE UTARA;MALUKUUTARA;BTDTTU220500011;12-May-22;OFFLINE;GENIO;20.940.000;0;KREDIT
FKH TERNATE TENGAH;MALUKUUTARA;BTDTNT220400061;12-May-22;OFFLINE;GENIO;20.940.000;0;KREDIT
FKH MALLUSETASI;SULAWESISELATAN;BTDMLS220500002;12-May-22;OFFLINE;BEAT;18.980.000;0;KREDIT
FKH BELIMBING;KALIMANTANBARAT;BTDBLB220500011;12-May-22;OFFLINE;CRF150L;36.090.000;0;KREDIT
FKH ANTANG;SULAWESISELATAN;BTDATG220500033;12-May-22;OFFLINE;SCOOPY;21.910.000;0;KREDIT
FKH SEI RAYA;KALIMANTANBARAT;BTDSEI220500017;12-May-22;OFFLINE;GENIO;20.230.000;0;KREDIT
FKH MALINAU;KALIMANTANUTARA;BTDMLU220500017;12-May-22;ONLINE;GENIO;20.550.000;0;KREDIT
FKH AMURANG;SULAWESIUTARA;BTDAMR220500010;12-May-22;OFFLINE;VARIO 160;27.185.000;0;KREDIT
FKH MANGGAR;KEPULAUANBANGKABELIT;BTDMGR220500025;12-May-22;OFFLINE;PCX160;34.811.000;0;KREDIT
FKH TOPOYO;SULAWESIBARAT;BTDTPY220500005;12-May-22;OFFLINE;SCOOPY;23.220.000;0;KREDIT
FKH TERNATE TENGAH;MALUKUUTARA;BTDTNT220500012;14-May-22;OFFLINE;SCOOPY;23.150.000;0;KREDIT
FKH TERNATE TENGAH;MALUKUUTARA;BTDTNT220400021;14-May-22;OFFLINE;SCOOPY;23.150.000;0;KREDIT
FKH TERNATE UTARA;MALUKUUTARA;BTDTTU220400080;12-May-22;OFFLINE;SCOOPY;23.150.000;0;KREDIT
FKH TANJUNG;KALIMANTANSELATAN;BTDTJG220500018;12-May-22;ONLINE;VARIO 160;28.717.000;0;KREDIT
FKH DENPASAR;BALI;BTDDPR220500039;12-May-22;OFFLINE;BEAT;17.910.000;0;KREDIT
FKH WAJO;SULAWESISELATAN;BTDWJO220500032;13-May-22;ONLINE;SCOOPY;21.910.000;0;KREDIT
FKH BETUN;NUSATENGGARATIMUR;BTDBTN220500015;13-May-22;OFFLINE;BEAT;20.235.000;0;KREDIT
FKH WAIKABUBAK;NUSATENGGARATIMUR;BTDWKB220500023;13-May-22;OFFLINE;SCOOPY;22.965.500;0;KREDIT
FKH TERNATE TENGAH;MALUKUUTARA;BTDTNT220500013;13-May-22;OFFLINE;VARIO 160;28.100.000;0;KREDIT
FKH AMURANG;SULAWESIUTARA;BTDAMR220500013;14-May-22;OFFLINE;BEAT;20.000.000;0;KREDIT
FKH MARTAPURA;SUMATERASELATAN;BTDMTP220500008;12-May-22;ONLINE;CRF150L;36.370.000;0;KREDIT
FKH SANGGAU;KALIMANTANBARAT;BTDSGU220500014;12-May-22;OFFLINE;REVO;18.690.000;0;KREDIT
FKH MALLUSETASI;SULAWESISELATAN;BTDMLS220500003;13-May-22;ONLINE;SCOOPY;22.920.000;0;KREDIT
FKH KOTAMOBAGU;SULAWESIUTARA;BTDKMB220500008;12-May-22;OFFLINE;BEAT;20.100.000;0;KREDIT
FKH SUNGAI LIAT;KEPULAUANBANGKABELIT;BTDSNL220500022;13-May-22;OFFLINE;VARIO 160;27.890.000;0;KREDIT
FKH TANJUNG MORAWA;SUMATERAUTARA;BTDTJM220400016;13-May-22;ONLINE;GENIO;19.080.000;0;KREDIT
FKH BONTANG;KALIMANTANTIMUR;BTDBTA220500025;12-May-22;OFFLINE;BEAT;19.770.000;0;KREDIT
FKH PONTIANAK SELATAN;KALIMANTANBARAT;BTDPTS220500005;12-May-22;OFFLINE;SCOOPY;22.450.000;0;KREDIT
FKH BANJARMASIN;KALIMANTANSELATAN;BTDBJM220500017;13-May-22;OFFLINE;SCOOPY;22.479.000;0;KREDIT
FKH PERBAUNGAN;SUMATERAUTARA;BTDPBG220500003;12-May-22;OFFLINE;REVO;15.910.000;0;KREDIT
FKH MELIAU;KALIMANTANBARAT;BTDMIU220500004;12-May-22;OFFLINE;SUPRAX125;21.050.000;0;KREDIT
FKH SOE;NUSATENGGARATIMUR;BTDSOE220500016;12-May-22;OFFLINE;BEAT;20.114.000;0;KREDIT
FKH NUNUKAN;KALIMANTANUTARA;BTDNUK220500022;12-May-22;OFFLINE;SCOOPY;23.030.000;0;KREDIT
FKH GORONTALO;GORONTALO;BTDGTO220500018;13-May-22;OFFLINE;BEAT;20.600.000;0;KREDIT
FKH TOPOYO;SULAWESIBARAT;BTDTPY220500006;12-May-22;OFFLINE;SCOOPY;23.220.000;0;KREDIT
FKH PONTIANAK SELATAN;KALIMANTANBARAT;BTDPTS220500004;12-May-22;OFFLINE;SCOOPY;23.260.000;0;KREDIT
FKH ATAMBUA;NUSATENGGARATIMUR;BTDATB220500023;12-May-22;OFFLINE;REVO;17.490.000;0;KREDIT
FKH MOROTAI SELATAN;MALUKUUTARA;BTDMRT220500006;13-May-22;OFFLINE;CBR 150R;40.410.000;0;KREDIT
FKH MAJENE;SULAWESIBARAT;BTDMJN220500014;12-May-22;OFFLINE;CRF150L;35.780.000;0;KREDIT
FKH MARTAPURA;SUMATERASELATAN;BTDMTP220500009;12-May-22;OFFLINE;BEAT;20.305.000;0;KREDIT
FKH ATAMBUA;NUSATENGGARATIMUR;BTDATB220500026;12-May-22;OFFLINE;REVO;17.490.000;0;KREDIT
FKH MANGGAR;KEPULAUANBANGKABELIT;BTDMGR220500016;12-May-22;OFFLINE;BEAT;20.175.000;0;KREDIT
FKH TERNATE;MALUKUUTARA;BTDTTE220500034;13-May-22;OFFLINE;CBR 150R;39.910.000;0;KREDIT
FKH TERNATE TENGAH;MALUKUUTARA;BTDTNT220400054;12-May-22;OFFLINE;GENIO;20.940.000;0;KREDIT
FKH PANGKAL PINANG;KEPULAUANBANGKABELIT;BTDPGK220500025;13-May-22;OFFLINE;VARIO 160;28.174.750;0;KREDIT
FKH MARTAPURA;SUMATERASELATAN;BTDMTP220500010;12-May-22;OFFLINE;GENIO;20.050.000;0;KREDIT
FKH SANGGAU;KALIMANTANBARAT;BTDSGU220500015;12-May-22;OFFLINE;SUPRAX125;21.050.000;0;KREDIT
FKH SIMPANG BRAYAN;SUMATERAUTARA;BTDSPB220400025;12-May-22;OFFLINE;BEAT;17.940.000;0;KREDIT
FKH WAJO;SULAWESISELATAN;BTDWJO220400076;13-May-22;OFFLINE;GENIO;19.970.000;0;KREDIT
FKH SOE;NUSATENGGARATIMUR;BTDSOE220400043;12-May-22;OFFLINE;CB150R;32.864.000;0;KREDIT
FKH TANJUNG;KALIMANTANSELATAN;BTDTJG220500019;12-May-22;OFFLINE;SCOOPY;22.479.000;0;KREDIT
FKH SINGKAWANG TENGAH;KALIMANTANBARAT;BTDSKT220500001;13-May-22;ONLINE;SCOOPY;22.800.000;0;KREDIT
FKHC RENGAS DENGKLOK;JAWABARAT;BTDRGS220400019;13-May-22;ONLINE;BEAT;18.550.000;0;KREDIT
FKH PRAYA;NUSATENGGARABARAT;BTDPRY220500009;13-May-22;OFFLINE;BEAT;18.500.000;0;KREDIT
FKH ANTANG;SULAWESISELATAN;BTDATG220500036;13-May-22;OFFLINE;BEAT;18.880.000;0;KREDIT
FKH TANGERANG;BANTEN;BTDTGR220400251;13-May-22;OFFLINE;PCX160;31.894.000;0;KREDIT
FKH KARAWANG;JAWABARAT;BTDKRW220300201;13-May-22;OFFLINE;PCX160;34.875.000;0;KREDIT
FKH SINJAI;SULAWESISELATAN;BTDSNJ220500006;12-May-22;OFFLINE;BEAT;18.980.000;0;KREDIT
FKH SANGATTA UTARA;KALIMANTANTIMUR;BTDSGT220500019;12-May-22;OFFLINE;BEAT;19.770.000;0;KREDIT
FKH KUPANG TIMUR;NUSATENGGARATIMUR;BTDKPT220500006;12-May-22;OFFLINE;CB150R;32.533.000;0;KREDIT
FKH PALOPO;SULAWESISELATAN;BTDPLP220500006;13-May-22;OFFLINE;BEAT;19.080.000;0;KREDIT
FKH MAKALE;SULAWESISELATAN;BTDMKL220500019;13-May-22;OFFLINE;CRF150L;35.679.000;0;KREDIT
FKH BELIMBING;KALIMANTANBARAT;BTDBLB220500013;13-May-22;OFFLINE;SUPRAX125;21.050.000;0;KREDIT
FKH BELIMBING;KALIMANTANBARAT;BTDBLB220400018;13-May-22;OFFLINE;SCOOPY;23.610.000;0;KREDIT
FKH TOBELO;MALUKUUTARA;BTDTBL220500015;13-May-22;OFFLINE;BEAT;21.350.000;0;KREDIT
FKH SEI RAYA;KALIMANTANBARAT;BTDSEI220500021;14-May-22;OFFLINE;VARIO 125;24.060.000;0;KREDIT
FKHC DUA BOCCOE;SULAWESISELATAN;BTDDBO220400021;12-May-22;OFFLINE;GENIO;20.404.000;0;KREDIT
FKH ATAMBUA;NUSATENGGARATIMUR;BTDATB220500027;12-May-22;OFFLINE;SUPRAX125;21.895.000;0;KREDIT
FKH ATAMBUA;NUSATENGGARATIMUR;BTDATB220500032;13-May-22;OFFLINE;VARIO 125;24.538.000;0;KREDIT
FKH TOBELO;MALUKUUTARA;BTDTBL220500023;13-May-22;OFFLINE;BEAT;21.510.000;0;KREDIT
FKH TERNATE UTARA;MALUKUUTARA;BTDTTU220500020;14-May-22;OFFLINE;SCOOPY;23.150.000;0;KREDIT
FKH SEI RAYA;KALIMANTANBARAT;BTDSEI220500019;14-May-22;OFFLINE;SCOOPY;22.450.000;0;KREDIT
FKH LAPPARIAJA;SULAWESISELATAN;BTDLPR220500007;17-May-22;OFFLINE;SCOOPY;22.160.000;0;KREDIT
FKH KOTAMOBAGU;SULAWESIUTARA;BTDKMB220500017;13-May-22;OFFLINE;VARIO 160;27.185.000;0;KREDIT
FKH BONE;SULAWESISELATAN;BTDBNE220500003;13-May-22;OFFLINE;GENIO;20.590.000;0;KREDIT
FKH WAIKABUBAK;NUSATENGGARATIMUR;BTDWKB220500009;13-May-22;OFFLINE;VARIO 160;27.903.000;0;KREDIT
FKHPARITTANJUNGPANDAN;KEPULAUANBANGKABELIT;BTDPRT220500008;13-May-22;OFFLINE;BEAT;20.752.000;0;KREDIT
FKH KARAWANG;JAWABARAT;BTDKRW220500051;13-May-22;OFFLINE;PCX160;31.200.000;0;KREDIT
FKH LOA JANAN ILIR(DLR)1;KALIMANTANTIMUR;BTDLJI220300088;13-May-22;OFFLINE;SCOOPY;23.820.000;0;KREDIT
FKH PALOPO;SULAWESISELATAN;BTDPLP220500031;13-May-22;OFFLINE;SCOOPY;23.020.000;0;KREDIT
FKH PAREPARE;SULAWESISELATAN;BTDPRE220500021;13-May-22;OFFLINE;SCOOPY;22.110.000;0;KREDIT
FKH SIMBORO;SULAWESIBARAT;BTDSBR220500005;13-May-22;ONLINE;SCOOPY;23.120.000;0;KREDIT
FKH ANTANG;SULAWESISELATAN;BTDATG220500037;13-May-22;OFFLINE;SCOOPY;22.720.000;0;KREDIT
FKH PAGAR ALAM;SUMATERASELATAN;BTDPGA220500022;14-May-22;ONLINE;BEAT;19.525.000;0;KREDIT
FKH SANGATTA UTARA;KALIMANTANTIMUR;BTDSGT220500024;13-May-22;OFFLINE;CRF150L;36.700.000;0;KREDIT
FKH BONE;SULAWESISELATAN;BTDBNE220500031;12-May-22;OFFLINE;GENIO;20.404.000;0;KREDIT
FKH SUNGAI LIAT;KEPULAUANBANGKABELIT;BTDSNL220500018;13-May-22;OFFLINE;VARIO 160;30.590.000;0;KREDIT
FKH TERNATE TENGAH;MALUKUUTARA;BTDTNT220500014;14-May-22;OFFLINE;SCOOPY;23.150.000;0;KREDIT
FKH KALUKKU;SULAWESIBARAT;BTDKKU220400018;13-May-22;OFFLINE;SCOOPY;23.120.000;0;KREDIT
FKH ENDE;NUSATENGGARATIMUR;BTDNDE220500011;12-May-22;OFFLINE;SCOOPY;23.555.500;0;KREDIT
FKH WAJO;SULAWESISELATAN;BTDWJO220500030;13-May-22;OFFLINE;SCOOPY;21.910.000;0;KREDIT
FKH RANTEPAO;SULAWESISELATAN;BTDRTP220500002;13-May-22;OFFLINE;SCOOPY;23.020.000;0;KREDIT
FKH JAMBI;JAMBI;BTDJMB220500026;13-May-22;OFFLINE;REVO;14.470.000;0;KREDIT
FKH WAJO;SULAWESISELATAN;BTDWJO220500038;14-May-22;OFFLINE;SCOOPY;21.910.000;0;KREDIT
FKH BONTANG;KALIMANTANTIMUR;BTDBTA220500029;12-May-22;OFFLINE;GENIO;20.810.000;0;KREDIT
FKH MAJENE;SULAWESIBARAT;BTDMJN220500015;13-May-22;OFFLINE;SCOOPY;22.310.000;0;KREDIT
FKH WAJO;SULAWESISELATAN;BTDWJO220500041;13-May-22;OFFLINE;SCOOPY;22.720.000;0;KREDIT
FKH PARINDU;KALIMANTANBARAT;BTDPRD220500006;12-May-22;ONLINE;REVO;17.180.000;0;KREDIT
FKH MAKASSAR;SULAWESISELATAN;BTDMKS220400169;13-May-22;OFFLINE;GENIO;20.510.000;0;KREDIT
FKH KLARI;JAWABARAT;BTDKLA220500001;14-May-22;OFFLINE;VARIO 125;22.950.000;0;KREDIT
FKH TERNATE;MALUKUUTARA;BTDTTE220500045;14-May-22;OFFLINE;SCOOPY;23.150.000;0;KREDIT
FKH KUPANG;NUSATENGGARATIMUR;BTDKPG220500026;13-May-22;OFFLINE;VARIO 125;24.366.000;0;KREDIT
FKH TANJUNG PANDAN;KEPULAUANBANGKABELIT;BTDTJP220500018;13-May-22;OFFLINE;BEAT;20.825.000;0;KREDIT
FKH MAMUJU;SULAWESIBARAT;BTDMMJ220500009;13-May-22;ONLINE;SCOOPY;23.120.000;0;KREDIT
FKH SOPPENG;SULAWESISELATAN;BTDSPG220500006;13-May-22;OFFLINE;GENIO;20.404.000;0;KREDIT
FKH NANGA PINOH;KALIMANTANBARAT;BTDNPH220500032;13-May-22;OFFLINE;REVO;17.180.000;0;KREDIT
FKH SLIPI;DKIJAKARTA;BTDSLP220400209;13-May-22;OFFLINE;VARIO 125;23.677.000;0;KREDIT
FKH MARTAPURA;SUMATERASELATAN;BTDMTP220500011;12-May-22;OFFLINE;BEAT;20.305.000;0;KREDIT
FKH SINTANG;KALIMANTANBARAT;BTDSTG220500034;13-May-22;OFFLINE;BEAT;19.475.000;0;KREDIT
FKH SEKAYU;SUMATERASELATAN;BTDSKY220500022;12-May-22;ONLINE;REVO;16.380.000;0;KREDIT
FKH TOPOYO;SULAWESIBARAT;BTDTPY220500008;13-May-22;OFFLINE;SCOOPY;23.220.000;0;KREDIT
FKH MUTIARA;ACEH;BTDMTM220500004;13-May-22;OFFLINE;VARIO 160;26.881.000;0;KREDIT
FKH BANDAR LAMPUNG;LAMPUNG;BTDLPG220500012;13-May-22;OFFLINE;VARIO 125;22.193.500;0;KREDIT
FKH NUNUKAN;KALIMANTANUTARA;BTDNUK220500021;13-May-22;OFFLINE;GENIO;21.320.000;0;KREDIT
FKH TERNATE TENGAH;MALUKUUTARA;BTDTNT220500015;14-May-22;OFFLINE;GENIO;20.940.000;0;KREDIT
FKH MASAMBA 2;SULAWESISELATAN;BTDMAM220500001;14-May-22;OFFLINE;CRF150L;35.679.000;0;KREDIT
FKH PALOPO;SULAWESISELATAN;BTDPLP220500028;13-May-22;OFFLINE;SCOOPY;23.020.000;0;KREDIT
FKH RANTEPAO;SULAWESISELATAN;BTDRTP220500003;13-May-22;OFFLINE;REVO;16.520.000;0;KREDIT
FKH WAJO;SULAWESISELATAN;BTDWJO220500045;13-May-22;OFFLINE;GENIO;20.510.000;0;KREDIT
FKH TERNATE;MALUKUUTARA;BTDTTE220500047;13-May-22;ONLINE;SCOOPY;23.150.000;0;KREDIT
FKH TANJUNG;KALIMANTANSELATAN;BTDTJG220500020;13-May-22;ONLINE;SCOOPY;22.479.000;0;KREDIT
FKH SINTANG;KALIMANTANBARAT;BTDSTG220500031;13-May-22;OFFLINE;VARIO 125;23.700.000;0;KREDIT
FKH MANGGAR;KEPULAUANBANGKABELIT;BTDMGR220500024;13-May-22;OFFLINE;REVO;20.052.000;0;KREDIT
FKH TANJUNG PANDAN;KEPULAUANBANGKABELIT;BTDTJP220500021;13-May-22;OFFLINE;BEAT;20.925.000;0;KREDIT
FKH JOHAR BARU;DKIJAKARTA;BTDJHB220500013;13-May-22;OFFLINE;VARIO 160;25.962.000;0;KREDIT
FKH FKH WEDUNG;JAWATENGAH;BTDWDG220500004;13-May-22;OFFLINE;VARIO 160;29.500.000;0;KREDIT
FKH DENPASAR;BALI;BTDDPR220500044;13-May-22;OFFLINE;BEAT;18.580.000;0;KREDIT
FKH BONE;SULAWESISELATAN;BTDBNE220500041;13-May-22;OFFLINE;SCOOPY;22.970.000;0;KREDIT
FKH SINGKAWANG;KALIMANTANBARAT;BTDSKW220500010;13-May-22;OFFLINE;SCOOPY;22.800.000;0;KREDIT
FKH TANGERANG;BANTEN;BTDTGR220500010;14-May-22;OFFLINE;BEAT;18.441.000;0;KREDIT
FKH KENDARI;SULAWESITENGGARA;BTDKDI220500017;13-May-22;OFFLINE;SCOOPY;24.100.000;0;KREDIT
FKH FKHC KARAWACI;BANTEN;BTDKWC220400052;14-May-22;OFFLINE;BEAT;18.441.000;0;KREDIT
FKH SANGATTA UTARA;KALIMANTANTIMUR;BTDSGT220500025;13-May-22;OFFLINE;BEAT;19.770.000;0;KREDIT
FKH PRABUMULIH;SUMATERASELATAN;BTDPBM220500009;13-May-22;OFFLINE;GENIO;20.050.000;0;KREDIT
FKH PRABUMULIH;SUMATERASELATAN;BTDPBM220500014;13-May-22;OFFLINE;GENIO;20.136.000;0;KREDIT
FKH MANGGAR;KEPULAUANBANGKABELIT;BTDMGR220500027;13-May-22;OFFLINE;PCX160;34.811.000;0;KREDIT
FKH PRABUMULIH BARAT;SUMATERASELATAN;BTDPBR220400027;13-May-22;OFFLINE;BEAT;19.525.000;0;KREDIT
FKH SOPPENG;SULAWESISELATAN;BTDSPG220500008;17-May-22;OFFLINE;GENIO;20.590.000;0;KREDIT
FKH TANGERANG;BANTEN;BTDTGR220500040;14-May-22;OFFLINE;VARIO 160;28.879.000;0;KREDIT
FKH PRABUMULIH;SUMATERASELATAN;BTDPBM220500016;13-May-22;OFFLINE;GENIO;20.050.000;0;KREDIT
FKH PALOPO;SULAWESISELATAN;BTDPLP220500034;13-May-22;OFFLINE;BEAT;19.680.000;0;KREDIT
FKHC CILEDUG;DKIJAKARTA;BTDCLG220400061;14-May-22;OFFLINE;VARIO 160;26.154.000;0;KREDIT
FKH TERNATE TENGAH;MALUKUUTARA;BTDTNT220500016;14-May-22;OFFLINE;SCOOPY;23.150.000;0;KREDIT
FKH SUNGAI LIAT;KEPULAUANBANGKABELIT;BTDSNL220500020;13-May-22;OFFLINE;BEAT;19.857.000;0;KREDIT
FKH BACAN;MALUKUUTARA;BTDBCN220500025;13-May-22;OFFLINE;REVO;18.130.000;0;KREDIT
FKH KALIANDA;LAMPUNG;BTDKLD220400026;13-May-22;OFFLINE;GENIO;19.826.000;0;KREDIT
FKH WAWOTOBI;SULAWESITENGGARA;BTDWAW220500003;14-May-22;OFFLINE;PCX160;36.780.000;0;KREDIT
FKH JAILOLO;MALUKUUTARA;BTDJLO220500008;13-May-22;OFFLINE;REVO;17.850.000;0;KREDIT
FKH ISIMU;GORONTALO;BTDISI220500001;13-May-22;OFFLINE;SCOOPY;22.320.000;0;KREDIT
FKH TERNATE UTARA;MALUKUUTARA;BTDTTU220500022;14-May-22;OFFLINE;BEAT;21.110.000;0;KREDIT
FKH MAMASA;SULAWESIBARAT;BTDMMS220500004;13-May-22;OFFLINE;BEAT;19.125.000;0;KREDIT
FKH KOTA TENGAH;GORONTALO;BTDKOT220500012;14-May-22;OFFLINE;GENIO;20.640.000;0;KREDIT
FKH BENGKULU;BENGKULU;BTDBKL220500024;13-May-22;OFFLINE;GENIO;20.045.000;0;KREDIT
FKH BALIKPAPAN;KALIMANTANTIMUR;BTDBPN220500001;13-May-22;OFFLINE;SCOOPY;23.090.000;0;KREDIT
FKH PASANGKAYU;SULAWESIBARAT;BTDPKY220500008;13-May-22;OFFLINE;GENIO;20.510.000;0;KREDIT
FKH SAWAH BESAR;DKIJAKARTA;BTDSWB220400149;13-May-22;OFFLINE;BEAT;18.022.000;0;KREDIT
FKH ISIMU;GORONTALO;BTDISI220500004;14-May-22;OFFLINE;BEAT;19.800.000;0;KREDIT
FKH TERNATE;MALUKUUTARA;BTDTTE220500055;14-May-22;OFFLINE;BEAT;21.010.000;0;KREDIT
FKH SAWAH BESAR;DKIJAKARTA;BTDSWB220400172;14-May-22;ONLINE;VARIO 160;25.962.000;0;KREDIT
FKH SAMARINDA;KALIMANTANTIMUR;BTDSRI220500024;13-May-22;OFFLINE;GENIO;20.150.000;0;KREDIT
FKH SAMARINDA;KALIMANTANTIMUR;BTDSRI220500025;13-May-22;OFFLINE;VARIO 160;31.570.000;0;KREDIT
FKH BANDAR LAMPUNG;LAMPUNG;BTDLPG220500010;14-May-22;OFFLINE;VARIO 160;29.673.000;0;KREDIT
FKH CIBADAK;JAWABARAT;BTDCBD220400025;13-May-22;ONLINE;VARIO 125;23.050.000;0;KREDIT
FKH LOA JANAN ILIR(DLR)1;KALIMANTANTIMUR;BTDLJI220400128;13-May-22;OFFLINE;VARIO 125;24.780.000;0;KREDIT
FKH PALEMBANG;SUMATERASELATAN;BTDPLM220500024;13-May-22;OFFLINE;CBR 150R;36.830.000;0;KREDIT
FKH LOA JANAN ILIR(DLR)1;KALIMANTANTIMUR;BTDLJI220500019;13-May-22;OFFLINE;PCX160;33.830.000;0;KREDIT
FKH KOTA TENGAH;GORONTALO;BTDKOT220400007;17-May-22;OFFLINE;SCOOPY;23.130.000;0;KREDIT
FKHWAITABULA;NUSATENGGARATIMUR;BTDWTB220500011;13-May-22;OFFLINE;BEAT;20.155.000;0;KREDIT
FKH MAKASSAR;SULAWESISELATAN;BTDMKS220500059;13-May-22;OFFLINE;SCOOPY;22.720.000;0;KREDIT
FKHWAITABULA;NUSATENGGARATIMUR;BTDWTB220500010;14-May-22;OFFLINE;BEAT;20.155.000;0;KREDIT
FKH KEFA;NUSATENGGARATIMUR;BTDKFA220500016;13-May-22;OFFLINE;REVO;17.490.000;0;KREDIT
