CABANG;PROPINSI;NO ORDER;TANGGAL;SUMBER;SERIES;HARGA JUAL;DISKON;JENIS BAYAR
FKH BANJARMASIN;KALIMANTANSELATAN;BTDBJM220500007;7-May-22;OFFLINE;VARIO 160;28.717.000;300.000;TUNAI
FKH NEGARA;BALI;BTDNGR220500009;7-May-22;OFFLINE;PCX160;35.500.000;400.000;TUNAI
FKH NEGARA;BALI;BTDNGR220500008;7-May-22;OFFLINE;SCOOPY;21.940.000;0;TUNAI
FKH SUKABUMI;JAWABARAT;BTDSKB220500021;6-May-22;ONLINE;SONIC 150R;23.325.000;500.000;TUNAI
FKH BALIKPAPAN;KALIMANTANTIMUR;BTDBPN220500004;6-May-22;OFFLINE;REVO;18.650.000;400.000;TUNAI
FKH NANGA PINOH;KALIMANTANBARAT;BTDNPH220500010;7-May-22;OFFLINE;CB150R;31.530.000;450.000;TUNAI
FKH BONE;SULAWESISELATAN;BTDBNE220500018;7-May-22;OFFLINE;CRF150L;35.580.000;300.000;TUNAI
FKH MATARAM BARU;LAMPUNG;BTDMRB220500001;10-May-22;ONLINE;PCX160;35.805.500;250.000;TUNAI
FKH RANGKUI;KEPULAUANBANGKABELIT;BTDRKI220500002;7-May-22;OFFLINE;BEAT;19.087.000;87.000;TUNAI
FKH MAKALE;SULAWESISELATAN;BTDMKL220500010;7-May-22;ONLINE;REVO;16.520.000;200.000;TUNAI
FKH MANDONGA KORUMBA;SULAWESITENGGARA;BTDKDA220500004;7-May-22;OFFLINE;REVO;19.130.000;200.000;TUNAI
FKH KAPUAS;KALIMANTANTENGAH;BTDPUA220500015;9-May-22;OFFLINE;CB150R;31.175.000;475.000;TUNAI
FKH PONTIANAK;KALIMANTANBARAT;BTDPNK220500010;9-May-22;OFFLINE;GENIO;20.230.000;200.000;TUNAI
FKH SUNGAI LIAT;KEPULAUANBANGKABELIT;BTDSNL220500011;9-May-22;OFFLINE;VARIO 160;28.174.749;150.000;TUNAI
FKH KARAWANG;JAWABARAT;BTDKRW220500010;9-May-22;OFFLINE;VARIO 160;26.250.000;200.000;TUNAI
FKH CIANJUR;JAWABARAT;BTDCJR220500001;10-May-22;OFFLINE;BEAT;18.300.000;200.000;TUNAI
FKH SURABAYA;JAWATIMUR;BTDSBY220500008;9-May-22;OFFLINE;CB150X;33.905.000;349.000;TUNAI
FKH UNAHA;SULAWESITENGGARA;BTDUNH220500007;10-May-22;OFFLINE;REVO;19.740.000;150.000;TUNAI
FKH SAROLANGUN;JAMBI;BTDSRO220500007;9-May-22;OFFLINE;SUPRAX125;18.865.000;200.000;TUNAI
